序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2474,688177,百奥泰,19.52,1.14,0.22,15888.0,31007067.0,2.8,19.79,19.25,19.3,19.3,1.22,0.38,-16.59,9.54,8082841600.0,8082841600.0,0.0,0.05,-16.22,0.72
2475,300019,硅宝科技,15.09,1.14,0.17,105898.0,159586156.14,2.41,15.21,14.85,15.02,14.92,1.85,3.06,28.09,2.37,5932131003.0,5216014093.0,0.0,0.0,1.96,3.07
2476,301082,久盛电气,14.21,1.14,0.16,133695.0,190199036.8,4.13,14.49,13.91,13.91,14.05,1.2,12.48,119.24,2.98,3215853363.0,1522229980.0,0.0,0.07,26.31,6.6
2477,603759,海天股份,7.11,1.14,0.08,72469.0,51442464.0,2.42,7.17,7.0,7.04,7.03,1.59,1.57,17.03,1.27,3283113600.0,3283113600.0,-0.14,0.14,6.6,-20.38
2478,603488,展鹏科技,8.0,1.14,0.09,50444.0,40303156.0,2.4,8.08,7.89,7.95,7.91,1.45,1.73,-128.29,2.44,2335923520.0,2335923520.0,0.13,0.25,-10.61,2.56
2479,300938,信测标准,32.02,1.14,0.36,81642.0,261584556.24,4.96,32.75,31.18,31.88,31.66,1.54,7.24,27.06,4.67,5162428823.0,3609280695.0,-0.22,0.38,42.0,24.69
2480,000707,双环科技,7.12,1.14,0.08,90528.0,64317449.0,1.99,7.16,7.02,7.05,7.04,1.66,1.95,7.54,1.4,3304717847.0,3304717847.0,0.0,-0.14,-7.17,-3.52
2481,688308,欧科亿,17.82,1.14,0.2,20463.0,36462652.0,3.12,18.08,17.53,17.56,17.62,1.33,1.29,23.62,1.1,2829490037.0,2829490037.0,-0.22,0.28,-12.39,-1.27
2482,601137,博威合金,20.53,1.13,0.23,304422.0,623533995.0,2.56,20.73,20.21,20.32,20.3,0.88,3.76,11.38,2.1,16656386584.0,16621896184.0,-0.05,0.1,5.93,1.13
2483,002831,裕同科技,26.78,1.13,0.3,49937.0,132130715.09,3.7,26.78,25.8,26.31,26.48,1.01,0.96,16.78,2.22,24919152949.0,13952199824.0,0.04,0.04,1.17,-1.18
2484,601888,中国中免,61.64,1.13,0.69,194260.0,1197663729.0,2.66,62.23,60.61,60.76,60.95,1.72,0.99,29.91,2.31,127524471472.0,120350592532.0,0.02,0.06,-15.15,-8.01
2485,000564,供销大集,2.68,1.13,0.03,4553999.0,1221316327.13,3.77,2.72,2.62,2.64,2.65,1.14,3.09,-327.01,2.93,48395609789.0,39436282362.0,0.0,0.0,12.61,-22.32
2486,002487,大金重工,19.66,1.13,0.22,167000.0,329748042.12,3.86,20.08,19.33,19.44,19.44,1.89,2.65,33.35,1.77,12538152201.0,12403892430.0,0.1,0.1,-18.46,-4.05
2487,600409,三友化工,5.37,1.13,0.06,225087.0,120330716.0,2.26,5.39,5.27,5.29,5.31,1.18,1.09,21.06,0.81,11085556536.0,11085556536.0,0.19,0.19,-5.95,-0.56
2488,603639,海利尔,12.54,1.13,0.14,20482.0,25588356.0,2.02,12.6,12.35,12.39,12.4,1.17,0.6,16.32,1.24,4262325133.0,4259204680.0,-0.08,0.08,2.7,1.13
2489,601231,环旭电子,16.13,1.13,0.18,288291.0,464327777.0,3.57,16.39,15.82,15.98,15.95,1.38,1.32,20.43,2.07,35333675797.0,35333675797.0,0.0,0.06,7.32,-2.24
2490,300316,晶盛机电,32.26,1.13,0.36,190062.0,614137993.15,3.1,32.79,31.8,31.99,31.9,1.8,1.54,10.7,2.48,42245560291.0,39729978269.0,-0.06,0.09,-9.51,1.13
2491,601686,友发集团,5.38,1.13,0.06,25293.0,13558988.0,2.26,5.4,5.28,5.33,5.32,1.1,0.18,57.56,1.3,7709342613.0,7709342613.0,0.0,0.0,-0.92,1.32
2492,688601,力芯微,43.1,1.13,0.48,59392.0,256846104.0,3.82,44.08,42.45,42.6,42.62,1.64,4.44,43.01,4.54,5762155370.0,5762155370.0,0.0,-0.21,-4.48,4.03
2493,603055,台华新材,10.78,1.13,0.12,56520.0,60707548.0,2.25,10.85,10.61,10.66,10.66,1.09,0.64,11.64,1.98,9597353937.0,9545178737.0,0.0,0.37,-4.52,-2.71
2494,603162,海通发展,8.99,1.12,0.1,53557.0,48074011.0,1.91,9.02,8.85,8.89,8.89,1.37,1.96,15.06,2.1,8242739585.0,2454948709.0,0.11,0.0,-9.74,-1.75
